#grid point     	c_iterations    	c_convergence   	elem_conserved  	P (bar)         	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	e-   	Al   	Ar   	C    	Ca   	Cl   	Co   	Cr   	Cu   	F    	Fe   	Ge   	H    	He   	K    	Mg   	Mn   	N    	Na   	Ne   	Ni   	O    	P    	S    	Si   	Ti   	V    	Zn   
54              	6               	ok              	ok              	8.1173000000e-01	6.3410000000e+02	1.7217271721e+19	9.2719294989e+18	2.3369838278e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
55              	6               	ok              	ok              	9.4881000000e-01	6.5940000000e+02	1.9352236828e+19	1.0421892458e+19	2.3369320080e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
56              	6               	ok              	ok              	1.1090000000e+00	6.8540000000e+02	2.1761027671e+19	1.1719355351e+19	2.3368840933e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
57              	6               	ok              	ok              	1.2963000000e+00	7.1170000000e+02	2.4495875605e+19	1.3192431023e+19	2.3368435092e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
58              	6               	ok              	ok              	1.5152000000e+00	7.3890000000e+02	2.7577975596e+19	1.4852534575e+19	2.3368094773e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
59              	6               	ok              	ok              	1.7711000000e+00	7.6710000000e+02	3.1050182051e+19	1.6722737678e+19	2.3367823736e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60              	7               	ok              	ok              	2.0702000000e+00	7.9680000000e+02	3.4940732415e+19	1.8818250951e+19	2.3367607144e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61              	7               	ok              	ok              	2.4198000000e+00	8.2830000000e+02	3.9287783294e+19	2.1159630910e+19	2.3367429002e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62              	6               	ok              	ok              	2.8284000000e+00	8.6200000000e+02	4.4126182658e+19	2.3765657813e+19	2.3367271972e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63              	6               	ok              	ok              	3.3061000000e+00	8.9850000000e+02	4.9483187213e+19	2.6651041226e+19	2.3367108681e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64              	6               	ok              	ok              	3.8644000000e+00	9.3780000000e+02	5.5415028643e+19	2.9846136575e+19	2.3366891130e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65              	7               	ok              	ok              	4.5170000000e+00	9.8020000000e+02	6.1970439876e+19	3.3377335897e+19	2.3366539711e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66              	6               	ok              	ok              	5.2797000000e+00	1.0256000000e+03	6.9226191582e+19	3.7286147286e+19	2.3366002575e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67              	7               	ok              	ok              	6.1713000000e+00	1.0729000000e+03	7.7347128309e+19	4.1661383746e+19	2.3365334239e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68              	6               	ok              	ok              	7.2135000000e+00	1.1221000000e+03	8.6442649390e+19	4.6561906103e+19	2.3364624833e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
