#grid point	p_iterations	c_iterations	p_convergence   	c_convergence   	P (bar)         	T(k)            	n_<H> (cm-3)    	n_g (cm-3)      	m(u)            	e-   	Al   	Ar   	C    	Ca   	Cl   	Co   	Cr   	Cu   	F    	Fe   	Ge   	H    	He   	K    	Mg   	Mn   	N    	Na   	Ne   	Ni   	O    	P    	S    	Si   	Ti   	V    	Zn   
26        	1         	4         	ok              	ok              	1.4644190000e-06	1.6945210000e+03	1.0149556587e+13	6.2594284076e+12	2.2164896208e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	1         	4         	ok              	ok              	1.2343000000e-06	1.6820830000e+03	8.6319025203e+12	5.3148325277e+12	2.2200883211e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	1         	4         	ok              	ok              	1.0403420000e-06	1.6696450000e+03	7.3418221388e+12	4.5130304896e+12	2.2237650527e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	1         	4         	ok              	ok              	8.9370310000e-07	1.6596980000e+03	6.3510868179e+12	3.9001424594e+12	2.2259781041e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	1         	4         	ok              	ok              	7.5331420000e-07	1.6497560000e+03	5.3888859137e+12	3.3072933253e+12	2.2273044474e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	1         	4         	ok              	ok              	6.1131250000e-07	1.6373270000e+03	4.4102963413e+12	2.7042331335e+12	2.2293433015e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	1         	3         	ok              	ok              	4.6867880000e-07	1.6274070000e+03	3.3969654441e+12	2.0859092333e+12	2.2261223670e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	1         	3         	ok              	ok              	3.8763600000e-07	1.6174700000e+03	2.8277874969e+12	1.7358178340e+12	2.2268754865e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	1         	3         	ok              	ok              	3.0867710000e-07	1.6075410000e+03	2.2646119059e+12	1.3907806191e+12	2.2258119349e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	1         	3         	ok              	ok              	2.4581720000e-07	1.6001090000e+03	1.8087974518e+12	1.1127022762e+12	2.2221034390e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	1         	3         	ok              	ok              	2.1935750000e-07	1.5951440000e+03	1.6187944616e+12	9.9602186004e+11	2.2216526046e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	1         	3         	ok              	ok              	1.7469790000e-07	1.5902070000e+03	1.2893374015e+12	7.9570172679e+11	2.2149788859e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	1         	3         	ok              	ok              	1.3142950000e-07	1.5827880000e+03	9.7137751758e+11	6.0143179513e+11	2.2077758273e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	1         	3         	ok              	ok              	1.0667490000e-07	1.5778470000e+03	7.8868546028e+11	4.8968142794e+11	2.2016258288e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
